user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
001a41c7-cd74-411c-9e3f-959733a916c2,809,270,831,51020
04b21fd2-b61e-4f6f-a65f-3acbc1acd035,573,216,759,30467
0d82aef4-6e04-4716-b112-b59f8023c1ba,30,8,120,4288
203b0e3f-b84d-4444-a99c-5c8398edaf2d,31,11,0,375
25469ce5-6a0e-4d5f-a3c8-385c6b4799e9,423,149,411,8501
25844007-c551-44a1-bc86-fdcdf3de77d4,2644,893,1322,395113
25d1bc9a-56a4-433b-8ffb-82309fecf949,784,350,873,30509
2ee211aa-929d-4980-bbc1-bc90dd2e7eb9,36,11,65,7191
2fc4205e-f7c6-4fe1-9864-abf367b85f2a,35,14,6,5214
30108385-8b67-4e45-bff0-3f8d14039205,16,8,4,4282
31a1671f-e0f4-430c-810b-b6b1c20772d7,2282,895,8403,135814
34119a60-06b6-4a72-9869-efe536f9585d,34,11,76,1397
3b651886-d44f-4c83-ac79-fcef48f28d38,62,30,61,1137
414039e1-808f-4ff9-b555-fb3481fda22a,159,43,46,19146
4a3988ee-5948-43e4-9c98-f5afde10549f,37,9,14,2827
50756c2c-1b50-4e3e-a716-396a3f18ed63,30,10,128,6632
5178da87-73e2-4871-9bfe-6ca9b3818f88,60,30,93,10476
53c06498-dc15-40c3-895c-548f3102d528,1026,426,2353,39655
5712b6ad-c467-4c08-9250-ac4f51f36b09,105,20,45,8510
5847cb73-43a1-46d9-8571-75bc60567721,103,19,0,3444
5adc13e9-6f72-4419-804a-42c0bcf1eec3,197,46,66,23615
5aea30f6-185f-4e67-82b2-b22886e8817d,29,4,0,2340
5c35be9b-25d1-4e28-b232-7fc5972e78f0,201,10,56,3824
5d7ff910-b25f-43bd-86d2-97f48be6e493,17,9,0,2194
67f3aa16-ad56-415f-9802-15edf491280e,52,21,407,8650
6a2e6c25-8f75-4375-afab-ae9793a572ea,20,17,366,2113
828a28ed-0b3f-438a-8fdc-18f2b87d7936,18,9,0,1250
83409ab0-2e67-41a7-987c-b3d09ac4d4e1,10,6,0,1744
8415a483-a9ce-43cd-9d11-4baaa6fc65ce,1949,602,3010,58800
84715d5e-ea12-439a-aa2f-053b591a45e9,455,136,569,8709
936dddf6-24a4-4706-b20f-1b8bddf0afe9,272,20,1,5693
941d275e-d2b1-438c-b445-9fbe323e71d1,424,189,2643,26921
9bcc6e2a-2743-402a-9dbf-2da31914af0a,60,6,364,1443
a050a3bd-6dbc-4110-87c1-931ab23ef243,2386,845,6413,383804
a5e38991-dc2f-44df-9968-d63a2916e413,513,209,572,11705
a64b22de-3318-4227-83c7-0763e5a4183e,43,18,0,1402
a9715657-11d9-4a7c-8925-3a71f6882af2,23,11,247,5758
aa0cf6d5-177b-43e6-8a87-1dc1010892a4,15,8,4,1177
ad1c7e12-e199-49e4-bc91-d010d3d27145,17,13,0,1958
aef4d0ad-1ff7-4af6-a0be-e616460441d5,38,13,7,672
b42e6096-310c-469d-b180-b86bd0b1764b,77,23,0,1137
b66ee22f-d58a-495c-aeb5-ed809b962a6b,21,8,214,5250
b6aafdb5-4aed-4f55-a932-a5bc8f737444,91,19,169,5140
b6efc188-5a25-4878-88ad-fb58057248d2,24,18,2,6025
b6f88c9c-74af-4c53-9bf4-01450d3f7dc3,9,2,11,1778
b97ede28-2904-4438-984c-69ce107166c0,98,46,207,38756
ba1bdc22-2a12-49b1-ba24-cfeb8a4081f9,41,14,2,2472
bb4af167-9be7-414d-a1be-b712c6a1a7a0,25,8,43,3065
bb753694-ed5b-4c88-b26d-0e58c7b31119,16,10,0,6210
bf66138c-6ecf-4bea-8b0a-7485b5b171e9,1423,456,1885,47690
c020bbe3-b92b-4119-ba27-8b99c55782ad,21,11,6,4277
d363619a-53e1-4ef4-a541-bb0278cae7c3,2597,1300,9538,169155
da791c10-a7d0-4653-9653-0abc1ef1db57,59,10,306,9350
e9273525-f0ad-442b-ab53-ec3fed09cdff,983,369,1192,32747
ecbeceac-f169-4ce4-8766-361337a70573,16,3,19,1376
f13fe08b-47c4-49c2-b128-21c6c04948da,34,21,379,10296
f51f44e3-5bae-4413-b3c5-6f28e39669bb,87,8,46,1955
fc36440f-38b7-4060-892a-65fedd77f651,459,110,487,20839
